"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with valid url and valid body","SUCCESS","2022-12-19T23:55:11.357523+07:00[Asia/Bangkok]","0.0","12.12"
"Login","Login with valid url and null body","SUCCESS","2022-12-19T23:55:23.913895+07:00[Asia/Bangkok]","0.0","0.85"
"Login","Login with valid url and body valid email null password","SUCCESS","2022-12-19T23:55:24.8837753+07:00[Asia/Bangkok]","0.0","0.28"
"Login","Login with valid url and body null email valid password","SUCCESS","2022-12-19T23:55:25.1797661+07:00[Asia/Bangkok]","0.0","0.27"
"Login","Login with valid url and body valid email wrong password","SUCCESS","2022-12-19T23:55:25.5037305+07:00[Asia/Bangkok]","0.0","0.32"
"Login","Login with valid url and body invalid format email","SUCCESS","2022-12-19T23:55:25.8387493+07:00[Asia/Bangkok]","0.0","0.26"
"Login","Login with valid url and body wrong email valid password","SUCCESS","2022-12-19T23:55:26.117811+07:00[Asia/Bangkok]","0.0","0.24"
"Register","Regis with valid url and valid body","SUCCESS","2022-12-19T23:55:11.6986414+07:00[Asia/Bangkok]","0.0","12.53"
"Register","Regis with valid url and null body","SUCCESS","2022-12-19T23:55:24.5352706+07:00[Asia/Bangkok]","0.0","0.49"
"Register","Regis with valid url body valid email and null password","SUCCESS","2022-12-19T23:55:25.0428203+07:00[Asia/Bangkok]","0.0","0.39"
"Register","Regis with valid url body null email and valid password","SUCCESS","2022-12-19T23:55:25.4637386+07:00[Asia/Bangkok]","0.0","0.36"
"Register","Regis with body already exist","SUCCESS","2022-12-19T23:55:25.8597443+07:00[Asia/Bangkok]","0.0","0.24"
"Find All Course","Find all course with valid url and valid token","SUCCESS","2022-12-19T23:55:11.7933891+07:00[Asia/Bangkok]","0.0","11.8"
"Find All Course","Find all course with valid url and invalid method","SUCCESS","2022-12-19T23:55:23.6210442+07:00[Asia/Bangkok]","0.0","0.85"
"Find Course By Mentor","Find course by mentor with valid url and valid mentor id","SUCCESS","2022-12-19T23:55:11.6467815+07:00[Asia/Bangkok]","0.0","11.86"
"Find Course By Mentor","Find course by mentor with invalid url and invalid mentor id","SUCCESS","2022-12-19T23:55:23.5340737+07:00[Asia/Bangkok]","0.0","1.11"
"Find Course By Category","Find course by category with valid url and valid category","SUCCESS","2022-12-19T23:55:11.5580176+07:00[Asia/Bangkok]","0.0","11.94"
"Find Course By Category","Find course by category with valid url and invalid category","SUCCESS","2022-12-19T23:55:23.7130193+07:00[Asia/Bangkok]","0.0","1.07"
"Find Course By Id","Find course by id with valid url and valid method","SUCCESS","2022-12-19T23:55:11.6048933+07:00[Asia/Bangkok]","0.0","11.98"
"Find Course By Id","Find course by id with valid url and invalid method","SUCCESS","2022-12-19T23:55:23.8379551+07:00[Asia/Bangkok]","0.0","0.93"
"Full Detail Course","Full detail course with valid url valid token and valid course id","SUCCESS","2022-12-19T23:55:11.3794637+07:00[Asia/Bangkok]","0.0","12.07"
"Full Detail Course","Full detail course with valid url valid token and invalid course id","SUCCESS","2022-12-19T23:55:23.65707+07:00[Asia/Bangkok]","0.0","0.61"
